TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2429000000.0	128895127.0	109278954.4	145297576.6
2430000000.0	128910984.4	109288374.9	145323080.8
2431000000.0	128926833.4	109297789.4	145348575.9
2432000000.0	128942674.2	109307198.1	145374061.9
2433000000.0	128958506.5	109316601.0	145399538.7
2434000000.0	128974330.6	109325998.0	145425006.5
2435000000.0	128990146.3	109335389.1	145450465.1
2436000000.0	129005953.7	109344774.4	145475914.6
2437000000.0	129021752.8	109354153.9	145501354.9
2438000000.0	129037543.6	109363527.5	145526786.2
2439000000.0	129053326.1	109372895.3	145552208.4
2440000000.0	129069100.3	109382257.3	145577621.5
2441000000.0	129084866.2	109391613.5	145603025.5
2442000000.0	129100623.8	109400963.9	145628420.5
2443000000.0	129116373.1	109410308.5	145653806.3
2444000000.0	129132114.2	109419647.3	145679183.1
2445000000.0	129147847.1	109428980.2	145704550.8
2446000000.0	129163571.6	109438307.4	145729909.5
2447000000.0	129179288.0	109447628.8	145755259.1
2448000000.0	129194996.1	109456944.5	145780599.7
2449000000.0	129210695.9	109466254.4	145805931.2
2450000000.0	129226387.6	109475558.5	145831253.7
2451000000.0	129242071.0	109484856.8	145856567.1
2452000000.0	129257746.2	109494149.4	145881871.6
2453000000.0	129273413.2	109503436.2	145907167.0
2454000000.0	129289071.9	109512717.3	145932453.4
2455000000.0	129304722.5	109521992.7	145957730.8
2456000000.0	129320364.9	109531262.3	145982999.1
2457000000.0	129335999.2	109540526.2	146008258.5
2458000000.0	129351625.2	109549784.4	146033508.9
2459000000.0	129367243.1	109559036.9	146058750.3
2460000000.0	129382852.8	109568283.6	146083982.7
2461000000.0	129398454.4	109577524.7	146109206.1
2462000000.0	129414047.8	109586760.0	146134420.6
2463000000.0	129429633.1	109595989.7	146159626.1
2464000000.0	129445210.2	109605213.6	146184822.6
2465000000.0	129460779.2	109614431.9	146210010.2
2466000000.0	129476340.1	109623644.5	146235188.8
2467000000.0	129491892.9	109632851.4	146260358.5
2468000000.0	129507437.6	109642052.6	146285519.2
2469000000.0	129522974.1	109651248.2	146310671.0
2470000000.0	129538502.6	109660438.2	146335813.9
2471000000.0	129554023.0	109669622.4	146360947.8
2472000000.0	129569535.2	109678801.0	146386072.8
2473000000.0	129585039.4	109687974.0	146411188.9
2474000000.0	129600535.6	109697141.4	146436296.1
2475000000.0	129616023.6	109706303.1	146461394.4
2476000000.0	129631503.7	109715459.2	146486483.8
2477000000.0	129646975.6	109724609.6	146511564.3
2478000000.0	129662439.5	109733754.4	146536635.9
2479000000.0	129677895.4	109742893.7	146561698.6
2480000000.0	129693343.2	109752027.3	146586752.5
2481000000.0	129708783.0	109761155.3	146611797.5
2482000000.0	129724214.8	109770277.7	146636833.6
2483000000.0	129739638.6	109779394.6	146661860.8
2484000000.0	129755054.4	109788505.8	146686879.2
2485000000.0	129770462.1	109797611.5	146711888.7
2486000000.0	129785861.9	109806711.6	146736889.4
2487000000.0	129801253.7	109815806.1	146761881.2
2488000000.0	129816637.5	109824895.0	146786864.2
2489000000.0	129832013.3	109833978.4	146811838.4
2490000000.0	129847381.1	109843056.3	146836803.7
2491000000.0	129862741.0	109852128.6	146861760.3
2492000000.0	129878092.9	109861195.3	146886708.0
2493000000.0	129893436.9	109870256.5	146911646.9
2494000000.0	129908772.9	109879312.2	146936576.9
2495000000.0	129924101.0	109888362.3	146961498.2
2496000000.0	129939421.1	109897406.9	146986410.7
2497000000.0	129954733.4	109906446.0	147011314.4
2498000000.0	129970037.7	109915479.6	147036209.3
2499000000.0	129985334.0	109924507.6	147061095.5
2500000000.0	130000622.5	109933530.2	147085972.8
2501000000.0	130015903.1	109942547.2	147110841.4
2502000000.0	130031175.8	109951558.8	147135701.2
2503000000.0	130046440.6	109960564.9	147160552.3
2504000000.0	130061697.5	109969565.5	147185394.6
2505000000.0	130076946.5	109978560.6	147210228.1
2506000000.0	130092187.6	109987550.2	147235053.0
2507000000.0	130107420.9	109996534.4	147259869.0
2508000000.0	130122646.4	110005513.1	147284676.4
