TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	400669.0	398679.3	402427.3
2000000.0	651755.0	648105.9	654735.0
3000000.0	867559.0	862438.4	871721.1
4000000.0	1064591.0	1058055.4	1069837.5
5000000.0	1249305.5	1241393.9	1255582.3
6000000.0	1424966.5	1415796.5	1432297.3
7000000.0	1593617.0	1583251.1	1601986.2
8000000.0	1756598.0	1745051.6	1765979.2
9000000.0	1914812.5	1902112.9	1925182.4
10000000.0	2068940.0	2055116.0	2080272.0
11000000.0	2219493.0	2204565.8	2231769.0
12000000.0	2366862.0	2350860.5	2380070.4
13000000.0	2511386.0	2494326.8	2525505.8
14000000.0	2653357.0	2635218.2	2668337.9
15000000.0	2792959.5	2773756.8	2808786.5
16000000.0	2930375.5	2910127.9	2947037.6
17000000.0	3065770.5	3044496.7	3083249.6
18000000.0	3199268.5	3176989.9	3217564.8
19000000.0	3331008.5	3307726.2	3350095.2
20000000.0	3461086.5	3436819.1	3480958.9
21000000.0	3589588.0	3564351.7	3610235.8
22000000.0	3716603.0	3690410.5	3738020.6
23000000.0	3842210.0	3815075.7	3864387.8
24000000.0	3966475.5	3938405.9	3989400.6
25000000.0	4089459.0	4060469.1	4113118.2
26000000.0	4211214.5	4181315.0	4235602.4
27000000.0	4331795.5	4300996.6	4356906.9
28000000.0	4451250.0	4419560.5	4477074.6
29000000.0	4569625.5	4537049.8	4596145.2
30000000.0	4686970.5	4653506.2	4714168.7
31000000.0	4803310.5	4768963.9	4831177.3
32000000.0	4918662.5	4883457.2	4947204.1
33000000.0	5033062.0	4997019.0	5062284.8
34000000.0	5146558.0	5109679.4	5176450.5
35000000.0	5259163.5	5221468.2	5289722.9
36000000.0	5370918.0	5332406.7	5402132.3
37000000.0	5481839.0	5442523.6	5513715.6
38000000.0	5591953.0	5551840.4	5624477.3
39000000.0	5701281.0	5660385.7	5734451.3
40000000.0	5809848.0	5768168.5	5843656.5
41000000.0	5917674.0	5875218.8	5952109.8
42000000.0	6024788.5	5981549.7	6059837.7
43000000.0	6131195.5	6087183.0	6166850.4
44000000.0	6236912.0	6192130.1	6273171.7
45000000.0	6341956.5	6296413.0	6378814.5
46000000.0	6446340.5	6400043.7	6483793.7
47000000.0	6550086.0	6503039.6	6588124.3
48000000.0	6653201.0	6605412.0	6691824.1
49000000.0	6755708.0	6707175.3	6794904.3
50000000.0	6857623.0	6808343.1	6897378.1
51000000.0	6958945.5	6908927.1	6999255.7
52000000.0	7059691.0	7008938.6	7100557.0
53000000.0	7159870.0	7108394.6	7201283.2
54000000.0	7259496.5	7207296.1	7301454.8
55000000.0	7358558.5	7305661.0	7401078.5
56000000.0	7457070.5	7403499.6	7500163.8
57000000.0	7555056.0	7500817.0	7598720.8
58000000.0	7652527.0	7597626.7	7696761.0
59000000.0	7749495.5	7693935.2	7794291.8
60000000.0	7845969.0	7789753.8	7891324.5
61000000.0	7941950.0	7885088.9	7987866.2
62000000.0	8037456.5	7979951.5	8083923.9
63000000.0	8132489.0	8074346.7	8179510.2
64000000.0	8227059.0	8168283.2	8274628.3
65000000.0	8321175.0	8261768.0	8369287.7
66000000.0	8414841.5	8354811.2	8463495.3
67000000.0	8508065.5	8447415.8	8557259.5
68000000.0	8600862.5	8539591.5	8650588.3
69000000.0	8693237.0	8631341.2	8743482.6
70000000.0	8785191.0	8722675.4	8835954.7
71000000.0	8876729.0	8813601.7	8928010.1
72000000.0	8967859.0	8904120.4	9019653.9
73000000.0	9058588.5	8994241.2	9110891.1
74000000.0	9148918.5	9083969.4	9201728.9
75000000.0	9238860.0	9173308.1	9292173.6
76000000.0	9328412.0	9262266.9	9382231.4
77000000.0	9417588.0	9350850.2	9471904.8
78000000.0	9506387.5	9439060.6	9561199.6
79000000.0	9594815.5	9526903.8	9650122.4
80000000.0	9682878.0	9614387.2	9738679.3
81000000.0	9770583.0	9701513.4	9826871.1
82000000.0	9857930.5	9788287.8	9914706.9
83000000.0	9944928.5	9874713.6	10002187.8
