gene_short_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
CG11307,4.539169358891623,0.09838348459422559,0.574399350722281,0.37227779626550195,0.7096860285015415,0.8724239420360284,0.1489337445871079
CG11306,40.0261994427846,-0.0450232244394363,0.2452789936226682,-0.21515274612484145,0.8296482312460144,0.9298449335203148,0.0811060083606647
MED1,5.859537560618589,0.30535926897593396,0.561641354673161,1.035741274473709,0.3003228611403883,0.5538947099326283,0.5224116072308415
ORMDL,46.92811943409712,0.17779402311082168,0.31357345784410917,0.7183892741029984,0.47251729841170365,0.7135769786429228,0.32558228775316855
Als2,7.456536615981002,-0.16420597947631055,0.4655572338756172,-0.5868877383871752,0.5572791053430656,0.7767082763893841,0.2539272401024656
CG11248,1.9915819522373248,0.03118882313003285,0.6541935405014814,0.13678655685446567,0.8911995098347691,,0.05002506103492613
CG11247,23.552983657860263,-0.04754956050983838,0.3094484290639925,-0.1968679219629287,0.843930896960823,0.9363222449579723,0.0736931129682455
Rpb8,116.27121389838524,-0.3372837828474642,0.3036344181568492,-1.3626844498187454,0.17298198069314974,0.3954036582060736,0.7619991344036575
CG14572,0.9601574796145934,-0.19214588963699347,0.6375351816775776,-1.317878704192533,0.18754425565742228,,0.7268962334300233
Syn1,7.215424345181681,0.5944944643756911,0.6029184496485515,1.717854950612319,0.08582307557674344,0.24497688760433922,1.0663959260411153
CG7407,18.693415971522732,0.06768382784390234,0.35709325407460535,0.2580493630450796,0.7963688107271228,0.9169435323498096,0.09888575717595492
CG7414,262.3723512526297,-0.0022639046058677706,0.15755738248306395,-0.01695637819889401,0.9864714159180314,0.9959401642383616,0.005915494384340168
Nopp140,27.13041929875549,-0.4482518734302697,0.3318227191856379,-1.6873713482971477,0.0915319695579701,0.25643010145499623,1.0384271925166002
P5CDh1,6.514614453279621,0.5066051201986888,0.6213811497939581,1.538683838771525,0.12388149966250905,0.3162671992638168,0.9069935458789398
DNApol-eta,2.108473267928725,-0.10322483220043016,0.6371577272445256,-0.44682278744307097,0.6550030168144884,,0.18375669972902917
CG14562,2.3944011672543306,-0.11165171742292425,0.6200674991048032,-0.463627202775788,0.6429148612922589,,0.19184653519258307
