TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	590597.5	588263.4	592643.7
2000000.0	1042136.0	1037633.7	1045592.0
3000000.0	1454378.5	1447897.5	1459217.9
4000000.0	1843538.5	1835295.4	1849854.7
5000000.0	2216408.0	2206413.1	2224094.4
6000000.0	2576463.5	2564809.0	2585459.5
7000000.0	2925910.5	2912656.8	2936190.6
8000000.0	3266261.0	3251451.6	3277764.6
9000000.0	3598637.5	3582301.0	3611299.7
10000000.0	3923847.0	3906002.7	3937627.4
11000000.0	4242548.5	4223239.8	4257418.1
12000000.0	4555275.0	4534544.0	4571209.8
13000000.0	4862476.0	4840381.6	4879450.1
14000000.0	5164540.5	5141103.7	5182538.9
15000000.0	5461791.5	5437055.0	5480793.0
16000000.0	5754535.0	5728522.9	5774525.0
17000000.0	6043015.5	6015751.5	6063962.0
18000000.0	6327465.5	6298970.8	6349348.1
19000000.0	6608084.0	6578389.9	6630884.6
20000000.0	6885052.5	6854178.3	6908753.7
21000000.0	7158544.5	7126504.2	7183126.0
22000000.0	7428697.0	7395526.7	7454153.0
23000000.0	7695662.5	7661371.2	7721963.8
24000000.0	7959573.5	7924166.9	7986712.0
25000000.0	8220526.0	8184039.1	8248489.6
26000000.0	8478651.0	8441096.8	8507418.7
27000000.0	8734043.0	8695432.5	8763607.1
28000000.0	8986790.0	8947146.9	9017146.0
29000000.0	9236998.5	9196332.6	9268122.5
30000000.0	9484740.0	9443068.6	9516625.4
31000000.0	9730092.0	9687419.0	9762730.7
32000000.0	9973139.5	9929484.4	10006503.4
33000000.0	10213948.0	10169308.6	10248034.9
34000000.0	10452576.0	10406973.7	10487371.7
35000000.0	10689100.0	10642533.6	10724586.7
36000000.0	10923561.5	10876055.2	10959731.9
37000000.0	11156022.5	11107579.4	11192872.9
38000000.0	11386535.5	11337178.1	11424056.4
39000000.0	11615156.0	11564880.2	11653337.9
40000000.0	11841926.5	11790755.4	11880758.1
41000000.0	12066897.0	12014833.2	12106371.9
42000000.0	12290111.0	12237160.8	12330225.1
43000000.0	12511606.5	12457788.0	12552347.8
44000000.0	12731427.0	12676741.8	12772792.5
45000000.0	12949608.5	12894075.4	12991590.9
46000000.0	13166197.0	13109816.3	13208784.8
47000000.0	13381215.0	13323998.5	13424405.6
48000000.0	13594707.5	13536664.3	13638492.4
49000000.0	13806700.0	13747835.7	13851076.8
50000000.0	14017228.0	13957555.1	14062182.1
51000000.0	14226321.5	14165841.4	14271855.2
52000000.0	14434006.0	14372729.2	14480112.9
53000000.0	14640312.0	14578249.1	14686983.2
54000000.0	14845270.0	14782426.1	14892501.6
55000000.0	15048900.0	14985284.8	15096687.4
56000000.0	15251220.5	15186850.8	15299569.2
57000000.0	15452268.5	15387149.8	15501174.7
58000000.0	15652057.0	15586201.7	15701518.5
59000000.0	15850625.5	15784033.1	15900630.7
60000000.0	16047987.5	15980667.1	16098533.6
61000000.0	16244164.5	16176121.6	16295244.8
62000000.0	16439177.5	16370420.6	16490789.6
63000000.0	16633046.0	16563576.6	16685185.3
64000000.0	16825792.0	16755617.6	16878453.7
65000000.0	17017432.5	16946559.7	17070611.0
66000000.0	17207986.0	17136419.3	17261678.7
67000000.0	17397473.0	17325218.3	17451671.4
68000000.0	17585908.0	17512967.3	17640609.2
69000000.0	17773309.0	17699690.9	17828509.5
70000000.0	17959689.5	17885398.6	18015386.1
71000000.0	18145072.0	18070110.1	18201258.4
72000000.0	18329464.5	18253838.8	18386136.7
73000000.0	18512888.0	18436602.9	18570041.4
74000000.0	18695352.5	18618412.6	18752984.6
75000000.0	18876877.0	18799285.3	18934981.8
76000000.0	19057471.0	18979234.4	19116046.9
77000000.0	19237160.0	19158272.6	19296193.7
