TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8257000000.0	207544262.4	167656967.6	336336871.9
8258000000.0	207549437.7	167659526.3	336360883.9
8259000000.0	207554612.1	167662084.4	336384894.4
8260000000.0	207559785.6	167664642.0	336408903.4
8261000000.0	207564958.1	167667199.1	336432910.8
8262000000.0	207570129.6	167669755.6	336456916.7
8263000000.0	207575300.3	167672311.6	336480921.0
8264000000.0	207580469.9	167674867.1	336504923.8
8265000000.0	207585638.7	167677422.0	336528925.1
8266000000.0	207590806.5	167679976.5	336552924.8
8267000000.0	207595973.4	167682530.4	336576923.0
8268000000.0	207601139.4	167685083.7	336600919.7
8269000000.0	207606304.4	167687636.6	336624914.8
8270000000.0	207611468.4	167690188.9	336648908.4
8271000000.0	207616631.6	167692740.7	336672900.4
8272000000.0	207621793.8	167695292.0	336696891.0
8273000000.0	207626955.1	167697842.7	336720879.9
8274000000.0	207632115.4	167700392.9	336744867.4
8275000000.0	207637274.8	167702942.6	336768853.3
8276000000.0	207642433.3	167705491.8	336792837.7
8277000000.0	207647590.9	167708040.4	336816820.5
8278000000.0	207652747.5	167710588.5	336840801.8
8279000000.0	207657903.2	167713136.1	336864781.6
8280000000.0	207663057.9	167715683.1	336888759.8
8281000000.0	207668211.7	167718229.7	336912736.5
8282000000.0	207673364.6	167720775.7	336936711.7
8283000000.0	207678516.6	167723321.2	336960685.3
8284000000.0	207683667.6	167725866.1	336984657.4
8285000000.0	207688817.7	167728410.6	337008628.0
8286000000.0	207693966.8	167730954.5	337032597.0
8287000000.0	207699115.1	167733497.9	337056564.5
8288000000.0	207704262.4	167736040.7	337080530.5
8289000000.0	207709408.7	167738583.1	337104495.0
8290000000.0	207714554.2	167741124.9	337128457.9
8291000000.0	207719698.7	167743666.2	337152419.2
8292000000.0	207724842.3	167746206.9	337176379.1
8293000000.0	207729984.9	167748747.2	337200337.4
8294000000.0	207735126.7	167751286.9	337224294.2
8295000000.0	207740267.5	167753826.1	337248249.4
8296000000.0	207745407.3	167756364.8	337272203.1
8297000000.0	207750546.3	167758902.9	337296155.3
8298000000.0	207755684.3	167761440.5	337320106.0
8299000000.0	207760821.4	167763977.6	337344055.1
8300000000.0	207765957.5	167766514.2	337368002.7
8301000000.0	207771092.8	167769050.3	337391948.8
8302000000.0	207776227.1	167771585.8	337415893.3
8303000000.0	207781360.5	167774120.8	337439836.3
8304000000.0	207786492.9	167776655.3	337463777.8
8305000000.0	207791624.4	167779189.3	337487717.7
8306000000.0	207796755.1	167781722.8	337511656.1
8307000000.0	207801884.7	167784255.7	337535593.0
8308000000.0	207807013.5	167786788.1	337559528.4
8309000000.0	207812141.3	167789320.0	337583462.2
8310000000.0	207817268.2	167791851.4	337607394.5
8311000000.0	207822394.2	167794382.2	337631325.2
8312000000.0	207827519.3	167796912.6	337655254.5
8313000000.0	207832643.4	167799442.4	337679182.2
8314000000.0	207837766.6	167801971.7	337703108.4
8315000000.0	207842888.9	167804500.4	337727033.0
8316000000.0	207848010.3	167807028.7	337750956.2
8317000000.0	207853130.7	167809556.4	337774877.8
8318000000.0	207858250.2	167812083.6	337798797.8
8319000000.0	207863368.8	167814610.3	337822716.4
8320000000.0	207868486.5	167817136.5	337846633.4
8321000000.0	207873603.2	167819662.2	337870548.9
8322000000.0	207878719.1	167822187.3	337894462.8
